The Serenity Group|Location is: Winchester Alano Club|2|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|3|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|4|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|5|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|6|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|7|20:00:00|21:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
The Serenity Group|Location is: Winchester Alano Club|1|16:00:00|17:00:00|66 N Main St, Winchester, KY 40391|37.9946362|-84.1763573
Lunch Bunch|Location is: Winchester Alano Club|4|12:00:00|13:00:00|66 north main street, winchester, KY 40391|37.9946362|-84.1763573
WINCHESTER GROUP|Location is: First United Methodist Church|5|13:30:00|14:30:00|100 Jefferson St, Winchester, KY 40391|37.9946148|-84.17120590000002
Sober by Grace|Location is: Sober by Grace|3|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY |38.0405837|-84.50371640000003
Sober by Grace|Location is: Sober by Grace|4|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY |38.0405837|-84.50371640000003
Sober by Grace|Location is: Sober by Grace|5|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY |38.0405837|-84.50371640000003
Sober by Grace|Location is: Sober by Grace|6|06:30:00|07:30:00|2 Militia Dr., Rm G-5, Lexington, KY |38.0405837|-84.50371640000003
Sober by Grace|Location is: Sober by Grace|2|06:30:00|07:30:00|2 Militia Dr., Rm G-5, enter rear, Lexington, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP 2|Location is: LEXINGTON JAYCEE HUT|1|09:30:00|10:30:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP 3|Location is: LEXINGTON JAYCEE HUT|1|17:00:00|18:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|2|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|3|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|6|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
NEW HOPE GROUP|Location is: LEXINGTON JAYCEE HUT|7|19:00:00|20:00:00|OLD CHAPIN HIGHWAY, LEXINGTON, KY |38.0405837|-84.50371640000003
My Meeting|Location is: My House|6|19:00:00|20:00:00|My Address, lexington, KY |38.0405837|-84.50371640000003
F.A.I.T.H. Group|Location is: Woodland Christian Church|4|20:00:00|21:00:00|530 E High St, Lexington, KY 40502|38.03508|-84.492595
Pass It On Group|Location is: Southside Church of Christ|5|08:00:00|09:00:00|1533 Nicholasville Road, lexington, KY 40503|38.0232079|-84.51292990000002
The Lunch Bunch|Location is: Downtown|2|12:00:00|13:00:00|370 E.2nd Street, lexington, KY 40508|38.04387699999999|-84.48874599999999
The Lunch Bunch|Location is: Alano Club|2|12:00:00|13:00:00|E. Second Street, lexington, KY |38.044258|-84.48872
Mens Step Study 12 X 12|Location is: Union Church|2|18:00:00|19:00:00|	200 Prospect St, berea, KY 40403|37.5712402|-84.28702870000001
Grapevine Group|Location is: Central Christian Church Cafeteria|6|19:30:00|20:30:00|205 E. Short Street, Lexington, KY 40501|38.04522300000001|-84.49368800000002
(SOT) Sober on Thursday|Location is: Berea Baptist Church|5|20:00:00|21:00:00|310 Chestnut St, Berea, KY 40403|37.5689812|-84.29591370000003
Peace Within|Location is: Gratz Park--Basement|3|18:00:00|19:00:00|3rd and Market Streets, lexington, KY |38.050841|-84.49400789999999
What Are We Group|Location is: Church of the Good Shepherd|1|19:00:00|20:00:00|1530 Pleasant St. - Rt. 102, SOUTH LEE, KY 40508|37.6116916|-83.68759449999999
Lawrenceburg Group|Location is: First Christian Church|2|20:00:00|21:00:00|300 S. Main St., lawrenceburg, KY 40342|38.0342972|-84.8954172
The Frankfort Group|Location is: 300 Strathmore Dr.|3|20:00:00|21:00:00|Frankfort, KY , frankfort, KY |38.14075380000001|-84.79029149999997
BIG PINE TRADITIONS GROUP|Location is: BIG PINE UNITED METHODIST CHURCH|1|17:00:00|18:00:00|KEY DEER BLVD, KEY WEST, KY 40371|38.1289886|-83.57452519999998
Into Action Group|Location is: St. Albans Church|7|08:00:00|09:00:00|5th St, Morehead, KY 40351|38.1849211|-83.43720209999998
12 &12 Study Group|Location is: Valley Camp|3|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539|37.2057872|-84.87516160000001
Spirit by Fire|Location is: Valley Camp|6|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539|37.2057872|-84.87516160000001
Big Book Study Group|Location is: Valley Camp|2|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539|37.2057872|-84.87516160000001
VC Group|Location is: Valley Camp|4|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539|37.2057872|-84.87516160000001
Sat. Night Campfire|Location is: Valley Camp|7|20:00:00|21:00:00|5325 North North Fork Road, Liberty, KY 42539|37.2057872|-84.87516160000001
SHELBYVILLE GROUP|Location is: First Presbyterian Church|5|13:30:00|14:30:00|600 N Britten, Shelbyville, KY |38.2120144|-85.22356660000003
sweet owen group|Location is: owen county library|4|20:00:00|21:00:00|N Main St, Owenton, KY 40359|38.5624985|-84.84157290000002
8-up|Location is: Hunter House|2|18:30:00|19:30:00|W 3rd St, Maysville, KY 41056|38.6513861|-83.77299870000002
