Sunrise Serenity|Location is: Sunrise Beach|1|20:00:00|21:00:00|59 Singing Oaks Drive, sunrise_beach, MO |37.9642529|-91.8318334
CHRIST EPISCOPAL CHURCH|Location is: CHRIST EPISCOPAL CHURCH|4|12:00:00|13:00:00|1000 N MAIN ST, ROLLA, MO 65401|37.9515074|-91.77352859999996
804 N MAIN ST|Location is: 804 N MAIN ST|1|16:00:00|17:00:00|804 N MAIN ST, ROLLA, MO 65401|37.9499788|-91.77354650000001
804 N MAIN ST|Location is: 804 N MAIN ST|3|19:30:00|20:30:00|804 N MAIN ST, ROLLA, MO 65401|37.9499788|-91.77354650000001
804 N MAIN ST|Location is: 804 N MAIN ST|5|19:30:00|20:30:00|804 N MAIN ST, ROLLA, MO 65401|37.9499788|-91.77354650000001
804 N MAIN ST|Location is: 804 N MAIN ST|6|19:30:00|20:30:00|804 N MAIN ST, ROLLA, MO 65401|37.9499788|-91.77354650000001
Rolla Wednesday Night Group|Location is: Presbyterian Church|4|19:30:00|20:30:00|10th and Holloway, rolla, MO 65401|37.9514219|-91.7619578
CATHOLIC CHURCH|Location is: CATHOLIC CHURCH|2|19:30:00|20:30:00|318 E SCIOTO, ST JAMES, MO 65559|37.9969257|-91.60971110000003
HEMPHILL ROAD|Location is: HEMPHILL ROAD|2|20:00:00|21:00:00|HEMPHILL ROAD, ST ROBERT, MO 65584|37.833058|-92.144136
HEMPHILL ROAD|Location is: HEMPHILL ROAD|7|20:00:00|21:00:00|HEMPHILL ROAD, ST ROBERT, MO 65584|37.833058|-92.144136
ST PAULS LUTHERAN CHURCH|Location is: ST PAULS LUTHERAN CHURCH|2|12:00:00|13:00:00|730 FLEENOR, CUBA, MO 65453|38.07129949999999|-91.39210159999999
ST PAULS LUTHERAN CHURCH|Location is: ST PAULS LUTHERAN CHURCH|4|12:00:00|13:00:00|730 FLEENOR, , MO  USA, MO 65453|38.07129949999999|-91.39210159999999
FIRST PRESBYTERIAN CHURCH|Location is: FIRST PRESBYTERIAN CHURCH|1|19:00:00|20:00:00|FIRST AND HIGH STREET, STEELVILLE, MO 65565|37.9699336|-91.35556880000001
CATHOLIC CHURCH|Location is: CATHOLIC CHURCH|3|19:00:00|20:00:00|1ST AND JEFFERSON, OWENSVILLE, MO 65066|38.343987|-91.5004879
CATHOLIC CHURCH|Location is: CATHOLIC CHURCH|6|20:00:00|21:00:00|FIRST AND JEFFERSON, OWENSVILLE, MO 65066|38.343987|-91.5004879
IT'S IN THE BOOK|Location is: FIRST CONGREGATIONAL CHURCH|4|18:30:00|19:30:00|Elm Grove Rd, Richland, MO 65556|37.9540407|-92.43049159999998
ST PAULS UCC CHURCH|Location is: ST PAULS UCC CHURCH|1|16:00:00|17:00:00|512 S MAIN, GERALD, MO 63037|38.398849|-91.33055809999996
FIRST PRESBYTERIAN CHURCH|Location is: FIRST PRESBYTERIAN CHURCH|2|20:00:00|21:00:00|SPRINGFIELD AND CUMBERLAN, SULLIVAN, MO 63080|38.21676430000001|-91.15600599999999
FIRST PRESBYTERIAN CHURCH|Location is: FIRST PRESBYTERIAN CHURCH|5|20:00:00|21:00:00|SPRINGFIELD AND CUMBERLAN, , MO  USA, MO 63080|38.21676430000001|-91.15600599999999
EMMANUEL UNITED METHODIST|Location is: EMMANUEL UNITED METHODIST|7|19:00:00|20:00:00|Missouri 49, Viburnum, MO 65566|37.7078973|-91.1335474
ST MARKS CHURCH|Location is: ST MARKS CHURCH|5|20:00:00|21:00:00|117 S OAK CREST DR, HOUSTON, MO 65483|37.3196545|-91.95727829999998
LESLIE UNITED METHODIST CHURCH|Location is: LESLIE UNITED METHODIST CHURCH|5|20:00:00|21:00:00|HWY 50, LESLIE, MO 63056|38.4270976|-91.28783729999998
POTOSI SOUTH BAPTIST CHURCH|Location is: POTOSI SOUTH BAPTIST CHURCH|3|19:00:00|20:00:00|HWY 8, POTOSI, MO 63664|37.91286849999999|-90.92968400000001
POTOSI SOUTH BAPTIST CHURCH|Location is: POTOSI SOUTH BAPTIST CHURCH|7|20:00:00|21:00:00|HWY 8, POTOSI, MO 63664|37.91286849999999|-90.92968400000001
ST JOHNS UNITED CHURCH OF CHRIST|Location is: ST JOHNS UNITED CHURCH OF CHRIST|1|19:00:00|20:00:00|920 E GRAVOIS ROAD, ST CLAIR, MO 63077|38.3387393|-90.97800189999998
ST JOHNS UNITED CHURCH OF CHRIST|Location is: ST JOHNS UNITED CHURCH OF CHRIST|4|19:30:00|20:30:00|920 E GRAVOIS ROAD, ST CLAIR, MO 63077|38.3387393|-90.97800189999998
ST JOHNS UNITED CHURCH OF CHRIST|Location is: ST JOHNS UNITED CHURCH OF CHRIST|5|19:00:00|20:00:00|920 E GRAVOIS ROAD, ST CLAIR, MO 63077|38.3387393|-90.97800189999998
ST JOHNS UNITED CHURCH OF CHRIST|Location is: ST JOHNS UNITED CHURCH OF CHRIST|6|19:00:00|20:00:00|920 E GRAVOIS ROAD, ST CLAIR, MO 63077|38.3387393|-90.97800189999998
UNITED METHODIST CHURCH|Location is: UNITED METHODIST CHURCH|5|19:00:00|20:00:00|485 S MAIN, ST CLAIR, MO 63077|38.3460142|-90.9811593
NEW HAVEN ELEMENTARY|Location is: NEW HAVEN ELEMENTARY|1|20:00:00|21:00:00|100 PARK DR, NEW HAVEN, MO 63068|38.5991724|-91.23056980000001
ZION UNITED CHURCH OF CHRIST|Location is: ZION UNITED CHURCH OF CHRIST|4|12:00:00|13:00:00|SPRINGFIELD AND WASHINGTON, UNION, MO 63084|38.4438876|-91.00868149999997
Banana Bunch|Location is: 115 South Washington|4|12:00:00|13:00:00|115 S Washington Ave, Union, MO 63084|38.44465050000001|-91.0086953
THE MEETING GROUP|Location is: Building |4|19:00:00|20:00:00|305 East Springfield Ave., union, MO 63084|38.4441031|-91.0063194
HARTSBURG RIVERSIDE GROUP|Location is: PEACE UNITED CHURCH|2|20:00:00|21:00:00|121 N FIRST ST, HARTSBURG, MO 65039|38.6946065|-92.31168880000001
HARTSBURG RIVERSIDE GROUP|Location is: PEACE UNITED CHURCH|3|20:00:00|21:00:00|121 N FIRST ST, HARTSBURG, MO 65039|38.6946065|-92.31168880000001
110 A HIGH ST|Location is: 110 A HIGH ST|5|20:00:00|21:00:00|110 A HIGH ST, , MO  USA, MO 63090|38.5653492|-91.02166590000002
ST FRANCIS BORGIA PARISH CENTER|Location is: ST FRANCIS BORGIA PARISH CENTER|1|18:00:00|19:00:00|2ND AND CEDAR, WASHINGTON, MO 63090|38.5605129|-91.0147316
ST FRANCIS BORGIA PARISH CENTER|Location is: ST FRANCIS BORGIA PARISH CENTER|3|19:00:00|20:00:00|2ND AND CEDAR, WASHINGTON, MO 63090|38.5605129|-91.0147316
ASHLAND MIDTOWN GROUP|Location is: ASHLAND CHRISTIAN CHURCH|3|20:00:00|21:00:00|ROUTE M AND DD, ASHLAND, MO |38.7750743|-92.28076859999999
THE NOONER|Location is: KRUEGER MEDICAL BUILDING|3|12:00:00|13:00:00|206 JEFFERSON, FULTON, MO 65251|38.8446782|-91.9502147
FULTON GROUP|Location is: PRESBYTERIAN CHURCH|2|18:00:00|19:00:00|2 ST LOUIS ROAD, FULTON, MO 65251|38.85049120000001|-91.94777290000002
FULTON GROUP|Location is: PRESBYTERIAN CHURCH|5|18:00:00|19:00:00|2 ST LOUIS ROAD, FULTON, MO 65251|38.85049120000001|-91.94777290000002
FULTON GROUP|Location is: PRESBYTERIAN CHURCH|6|19:30:00|20:30:00|2 ST LOUIS ROAD, FULTON, MO 65251|38.85049120000001|-91.94777290000002
FULTON GROUP|Location is: PRESBYTERIAN CHURCH|7|19:30:00|20:30:00|2 ST LOUIS ROAD, FULTON, MO 65251|38.85049120000001|-91.94777290000002
ROBERTSVILLE FIREHOUSE #2|Location is: ROBERTSVILLE FIREHOUSE #2|3|20:00:00|21:00:00|1750 HWY O, ROBERTSVILLE, MO 63072|38.4131749|-90.80670129999999
BEST WESTERN HOTEL|Location is: BEST WESTERN HOTEL|4|19:30:00|20:30:00|2875 HWY 100, GRAY SUMMIT, MO |38.4806393|-90.8438668
GRAY SUMMIT UNITED METHODIST|Location is: GRAY SUMMIT UNITED METHODIST|2|10:00:00|11:00:00|24 FORD ST, GRAY SUMMIT, MO 63069|38.4906348|-90.81487140000002
GRAY SUMMIT UNITED METHODIST|Location is: GRAY SUMMIT UNITED METHODIST|5|10:30:00|11:30:00|24 FORD ST, GRAY SUMMIT, MO 63069|38.4906348|-90.81487140000002
ST MARTINS UNITED CHURCH OF CHRIST|Location is: ST MARTINS UNITED CHURCH OF CHRIST|5|20:00:00|21:00:00|7890 DITTMER RIDGE ROAD, DITTMER, MO 63023|38.330221|-90.68819099999996
COLONIAL RETIREMENT CENTER|Location is: COLONIAL RETIREMENT CENTER|4|19:00:00|20:00:00|1162 NORTH CEDAR, BISMARK, MO 63624|37.7778662|-90.6136889
MORNING AFTER|Location is: DUNEDIN APARTMENT CLUBHOUSE|1|08:00:00|09:00:00|SR 23 AND DOUGLAS, SOUTH BEND, MO 65548|36.9870587|-91.69800149999998
